,Subject,Electrode,Frequency,PSD
122,1,2,43,1.1186598763074395e-10
123,1,2,44,1.1107720577454237e-10
124,1,2,45,1.1062502381736796e-10
125,1,2,46,1.0604241276485775e-10
126,1,2,47,9.551903193630556e-11
127,1,2,48,9.306224552710183e-11
128,1,2,49,9.084254237276103e-11
129,1,2,50,8.572837461593835e-11
130,1,2,51,8.135609352863798e-11
131,1,2,52,8.004920629399045e-11
132,1,2,53,7.907163553356108e-11
133,1,2,54,8.54433524577176e-11
134,1,2,55,8.48800621665663e-11
135,1,2,56,8.372991245603282e-11
136,1,2,57,8.150719505664652e-11
137,1,2,58,8.176671587834312e-11
138,1,2,59,7.986117551305358e-11
139,1,2,60,7.796099957966661e-11
140,1,2,61,7.6833001734929e-11
141,1,2,62,7.758450658770228e-11
142,1,2,63,7.771448070495523e-11
143,1,2,64,7.636879265610656e-11
144,1,2,65,7.41908005247705e-11
145,1,2,66,7.33818296477873e-11
146,1,2,67,7.272594046884543e-11
147,1,2,68,7.103858025257419e-11
148,1,2,69,7.031022012847509e-11
149,1,2,70,6.858600008126254e-11
150,1,2,71,6.942620412285337e-11
151,1,2,72,6.905647357627661e-11
152,1,2,73,6.74346141831441e-11
153,1,2,74,6.554440372122987e-11
154,1,2,75,6.592811991849703e-11
155,1,2,76,6.604593940889949e-11
156,1,2,77,6.615701743339589e-11
157,1,2,78,6.580776433513986e-11
158,1,2,79,6.647305169794476e-11
159,1,2,80,6.687716909905704e-11
160,1,3,1,6.341501885021643e-09
161,1,3,2,5.936152983020055e-09
162,1,3,3,4.453242302990095e-09
163,1,3,4,4.138244699563676e-09
164,1,3,5,2.705096898108304e-09
165,1,3,6,1.9234918304168866e-09
166,1,3,7,1.3591337585999092e-09
167,1,3,8,9.279429109175583e-10
168,1,3,9,6.453690152100555e-10
169,1,3,10,4.705470955913198e-10
170,1,3,11,3.5438170084625653e-10
171,1,3,12,2.90871141267789e-10
172,1,3,13,2.5256542994527466e-10
173,1,3,14,2.2428283377946824e-10
174,1,3,15,1.8941562572119241e-10
175,1,3,16,1.6249552153062434e-10
176,1,3,17,1.4744600131264514e-10
177,1,3,18,1.3956598358023838e-10
178,1,3,19,1.3715744491832213e-10
179,1,3,20,1.3447315641514382e-10
180,1,3,21,1.324632968019807e-10
181,1,3,22,1.2982550025848284e-10
182,1,3,23,1.2886281418009037e-10
183,1,3,24,1.268226514094044e-10
184,1,3,25,1.2513649750410047e-10
185,1,3,26,1.2612606739712106e-10
186,1,3,27,1.2471960845537235e-10
187,1,3,28,1.2261114148604247e-10
188,1,3,29,1.1923654284564817e-10
189,1,3,30,1.1721447625481578e-10
190,1,3,31,1.1529420789573313e-10
191,1,3,32,1.1390725564074302e-10
192,1,3,33,1.0836799805104951e-10
193,1,3,34,1.0583338825386253e-10
194,1,3,35,1.0481896669833739e-10
195,1,3,36,1.0611374985785057e-10
196,1,3,37,1.0715444890870669e-10
197,1,3,38,1.0888275598939392e-10
198,1,3,39,1.1035549105176758e-10
199,1,3,40,1.1163836830881986e-10
200,1,3,41,1.1460762697090497e-10
201,1,3,42,1.155073381123973e-10
202,1,3,43,1.181933522229914e-10
203,1,3,44,1.184689594655582e-10
204,1,3,45,1.1743752909157592e-10
205,1,3,46,1.129894522592482e-10
206,1,3,47,1.0256168875354869e-10
207,1,3,48,9.756957090512148e-11
208,1,3,49,9.490421046895696e-11
209,1,3,50,9.109070884166699e-11
210,1,3,51,8.782421668643011e-11
211,1,3,52,8.461490011906473e-11
212,1,3,53,8.202659551541357e-11
213,1,3,54,8.82127208464465e-11
214,1,3,55,8.928269064966039e-11
215,1,3,56,8.71905885997695e-11
216,1,3,57,8.664721405135202e-11
217,1,3,58,8.436517840340489e-11
218,1,3,59,8.308670832318292e-11
219,1,3,60,8.164078483328292e-11
220,1,3,61,7.901473281485204e-11
221,1,3,62,7.77523544745092e-11
222,1,3,63,7.660548617568578e-11
223,1,3,64,7.755671488031341e-11
224,1,3,65,7.690502714743533e-11
225,1,3,66,7.649883614744808e-11
226,1,3,67,7.707245263428364e-11
227,1,3,68,7.670139838038196e-11
228,1,3,69,7.587642097135533e-11
229,1,3,70,7.376052884304367e-11
230,1,3,71,7.162268363415151e-11
231,1,3,72,6.929333346110359e-11
232,1,3,73,6.886066232398059e-11
233,1,3,74,6.898625457818435e-11
234,1,3,75,6.77651947864199e-11
235,1,3,76,6.597667525231055e-11
236,1,3,77,6.629931618398133e-11
237,1,3,78,6.469592712043665e-11
238,1,3,79,6.460280005370048e-11
239,1,3,80,6.41481430623402e-11
240,1,4,1,2.2508345374765326e-09
241,1,4,2,2.0897689191642656e-09
242,1,4,3,1.5792303104625452e-09
243,1,4,4,1.4467132537852344e-09
244,1,4,5,8.714223200329305e-10
245,1,4,6,6.31358046409329e-10
246,1,4,7,5.064010256265479e-10
247,1,4,8,4.131326409449977e-10
248,1,4,9,3.6326013030397177e-10
249,1,4,10,3.1390732854947635e-10
250,1,4,11,2.709353486648516e-10
251,1,4,12,2.3209172594599787e-10
252,1,4,13,2.0776158651309632e-10
253,1,4,14,1.8415195369481966e-10
254,1,4,15,1.5506192068389538e-10
255,1,4,16,1.320549374100094e-10
256,1,4,17,1.189891639635403e-10
257,1,4,18,1.1236250883105681e-10
258,1,4,19,1.1120498892758702e-10
259,1,4,20,1.1068425667122036e-10
260,1,4,21,1.1012640327780123e-10
261,1,4,22,1.0790147385931085e-10
262,1,4,23,1.0343575310405612e-10
263,1,4,24,9.80951765786495e-11
264,1,4,25,9.585280428774107e-11
265,1,4,26,9.63004724695317e-11
266,1,4,27,9.322818326889206e-11
267,1,4,28,8.597505566856737e-11
268,1,4,29,7.959954989187345e-11
269,1,4,30,7.492242710821369e-11
270,1,4,31,7.065548663328548e-11
271,1,4,32,6.5439873071284e-11
272,1,4,33,5.7295086732748555e-11
273,1,4,34,4.957010639219463e-11
274,1,4,35,4.710163886370457e-11
275,1,4,36,4.5955307649170596e-11
276,1,4,37,4.406260846120483e-11
277,1,4,38,4.351898899062262e-11
278,1,4,39,4.317230379817009e-11
279,1,4,40,4.2848787960793685e-11
280,1,4,41,4.264935291568563e-11
281,1,4,42,4.154657085909117e-11
282,1,4,43,4.129180395138597e-11
283,1,4,44,4.06922835852182e-11
284,1,4,45,4.031156012432832e-11
285,1,4,46,3.9109204795449583e-11
286,1,4,47,3.4709184440822833e-11
287,1,4,48,3.3296242456007313e-11
288,1,4,49,3.2964780477407176e-11
289,1,4,50,3.1711534847391103e-11
