,Subject,Electrode,Frequency,PSD
91,1,2,12,1.8657481629601025e-10
92,1,2,13,1.7007494438682176e-10
93,1,2,14,1.501905858816918e-10
94,1,2,15,1.2889080175445673e-10
95,1,2,16,1.1493035448558254e-10
96,1,2,17,1.0290737766667727e-10
97,1,2,18,9.6321776757054e-11
98,1,2,19,9.225476134056608e-11
99,1,2,20,8.928403191286919e-11
100,1,2,21,8.491902301470778e-11
101,1,2,22,8.218700810948686e-11
102,1,2,23,7.755118040916754e-11
103,1,2,24,7.399599491868146e-11
104,1,2,25,7.086987917866075e-11
105,1,2,26,6.794806956698579e-11
106,1,2,27,6.602506333219081e-11
107,1,2,28,6.2972896202993e-11
108,1,2,29,6.04728083793582e-11
109,1,2,30,5.87045864567406e-11
110,1,2,31,5.765125300006104e-11
111,1,2,32,5.531772559273578e-11
112,1,2,33,5.240945602977304e-11
113,1,2,34,5.033583537024643e-11
114,1,2,35,4.9791813042578194e-11
115,1,2,36,5.04491089159456e-11
116,1,2,37,5.0560961668936964e-11
117,1,2,38,5.228807952945141e-11
118,1,2,39,5.3286329193218365e-11
119,1,2,40,5.470071752557598e-11
120,1,2,41,5.555487731590709e-11
121,1,2,42,5.685947217951464e-11
122,1,2,43,5.709878643326763e-11
123,1,2,44,5.632500442981707e-11
124,1,2,45,5.456959468287274e-11
125,1,2,46,5.364556787413121e-11
126,1,2,47,4.8359879320381245e-11
127,1,2,48,4.736879613370674e-11
128,1,2,49,4.822667319233487e-11
129,1,2,50,4.765694067926398e-11
130,1,2,51,4.724466045351674e-11
131,1,2,52,4.8708288410387566e-11
132,1,2,53,4.8825692031618794e-11
133,1,2,54,5.31838520019476e-11
134,1,2,55,5.321331973881441e-11
135,1,2,56,5.266654319181249e-11
136,1,2,57,5.148936690284481e-11
137,1,2,58,4.871480356810805e-11
138,1,2,59,4.826166960287833e-11
139,1,2,60,4.732886116795372e-11
140,1,2,61,4.730129313869399e-11
141,1,2,62,4.7278228135014315e-11
142,1,2,63,4.760451612118094e-11
143,1,2,64,4.641615265313208e-11
144,1,2,65,4.633924101631502e-11
145,1,2,66,4.590206604713275e-11
146,1,2,67,4.5003156275111476e-11
147,1,2,68,4.4539743245894e-11
148,1,2,69,4.388383403130052e-11
149,1,2,70,4.244176449397413e-11
150,1,2,71,4.215856706089658e-11
151,1,2,72,4.1268850282072665e-11
152,1,2,73,4.0424028161116766e-11
153,1,2,74,4.0921729535324185e-11
154,1,2,75,4.223584154323568e-11
155,1,2,76,4.172206362891568e-11
156,1,2,77,4.194438499947209e-11
157,1,2,78,4.354987164408407e-11
158,1,2,79,4.5108697830672404e-11
159,1,2,80,4.5442600707594945e-11
160,1,3,1,8.22525851093659e-09
161,1,3,2,7.692067806602116e-09
162,1,3,3,5.5166424541968084e-09
163,1,3,4,5.115424203503184e-09
164,1,3,5,3.156702471891816e-09
165,1,3,6,2.0798906487524116e-09
166,1,3,7,1.417802745267623e-09
167,1,3,8,9.520744480510762e-10
168,1,3,9,6.497829496103763e-10
169,1,3,10,4.583059982875535e-10
170,1,3,11,3.36019317406048e-10
171,1,3,12,2.7064255402158354e-10
172,1,3,13,2.3324207754329434e-10
173,1,3,14,2.0812838875759372e-10
174,1,3,15,1.7853702275908319e-10
175,1,3,16,1.5558241804101116e-10
176,1,3,17,1.4463045538245162e-10
